Time (JD)	Mag	Error	Band	Calibration	Telescope	Abs Mag	wave	freq	fratio	fratio_unc	fnu	fnu_unc	nufnu	nufnu_unc	flambda	flambda_unc	Llambda	Llambda_unc	logLlambda	logLlambda_unc
58836.436117	19.192	0.07	r	PS1r	gcn26577_tel1	-16.599812460476244	6156.36	486963819529722.1	4364404.392477015	281383.54982962867	1.5847152349084043e-13	1.0217036694313816e-14	77.16989836579374	4.975327212938382	0.012534987941867231	0.0008081605385225006	1.4998052689696282e+38	9.669601913225492e+36	38.17603487498773	0.027981014050063636
58836.437684	19.205	0.07	i	PS1i	gcn26577_tel1	-16.586812460476246	7503.68	399527242632948.06	4312459.050378213	278034.50985934766	1.565853881192329e-13	1.0095433052992914e-14	62.5601283518871	4.033400530847784	0.008337259631525745	0.000537522992831222	9.975490987402926e+37	6.431436716009322e+36	37.99893428058657	0.02798101405006365
58836.439253	19.335	0.11	z	PS1z	gcn26577_tel1	-16.456812460476243	8668.56	345838822134241.44	3825823.973210543	387608.5509618893	1.3891566846727483e-13	1.4074066485426202e-14	48.042431158713114	4.867358575958801	0.005542146695496498	0.0005614956320264036	6.631151823884461e+37	6.71826818918492e+36	37.82158897143793	0.04397016493581429
58836.441086	19.309	0.22	y	PS1y	gcn26577_tel1	-16.482812460476243	9613.45	311846899916263.1	3918546.3144695093	794005.1970315741	1.4228241667838788e-13	2.883032870421646e-14	44.37033055374928	8.990648629976757	0.0046154430047224745	0.0009352156229009103	5.522355321931509e+37	1.118980987739633e+37	37.74212434677799	0.0879403298716286
58836.44635417	19.321	0.04	g	PS1g	gcn26503	-16.470812460476246	4810.88	623155135858720.2	3875475.397216529	142777.79004633534	1.4071851167293218e-13	5.184261556582436e-15	87.68946325938296	3.2305992146192684	0.01822732291376691	0.0006715193924228558	2.180890406281972e+38	8.034697182333756e+36	38.33863384203773	0.015989150885750654
58836.44635417	19.272	0.03	r	PS1r	gcn26503	-16.519812460476242	6156.36	486963819529722.1	4054384.9789258474	112026.79696480362	1.4721471858479752e-13	4.067692997792019e-15	71.68824165304616	1.9808193188791072	0.011644582456686446	0.00032175170374687436	1.3932686815882229e+38	3.849743636112612e+36	38.144034874987724	0.01199186316431299
58836.44635417	19.375	0.06	i	PS1i	gcn26503	-16.416812460476244	7503.68	399527242632948.06	3687440.1846566973	203775.47521194536	1.3389095310488467e-13	7.399087504945736e-15	53.49308330749193	2.9561370288508693	0.007128913187594877	0.00039395830164011113	8.529710288009397e+37	4.7136921016148124e+36	37.93093428058656	0.02398372632862598
58836.6843	19.281	0.11	r	SDSSr	gcn26500_tel4	-16.510812460476245	6141.12	488172284534417.2	4020915.8494157405	407374.0393821197	1.4599945449228555e-13	1.4791751369964767e-14	71.27288724027771	7.220923058540795	0.011605845064137765	0.0011758316167964143	1.3886337712301041e+38	1.4068768653555184e+37	38.14258772298343	0.0439701649358143
58836.687000000005	19.434	0.1	g	SDSSg	gcn26500_tel4	-16.357812460476243	4671.78	641709279974656.4	3492408.0788914827	321662.6712443001	1.2680933734454973e-13	1.1679571592880537e-14	81.37472856143431	7.49488947727982	0.01741835629276942	0.0016042899017675962	2.0840979397698855e+38	1.919525139381497e+37	38.318918124273445	0.039972877214376645
58836.6897	19.284	0.13	i	SDSSi	gcn26500_tel4	-16.50781246047624	7457.89	401980262513928.2	4009820.983524223	480113.60915635515	1.4559659991176454e-13	1.7432925148467256e-14	58.526959453666485	7.007691827566528	0.007847656569574837	0.00093963464566607	9.389683282263443e+37	1.1242683271911108e+37	37.972650943588256	0.051964740378689624
58836.7002	19.271	0.18	r	SDSSr	gcn26500_tel4	-16.520812460476243	6141.12	488172284534417.2	4058120.9256943148	672780.1499331067	1.4735037081196056e-13	2.4428647244071106e-14	71.93236714626829	11.925388533223586	0.011713232626339868	0.0019418914682050809	1.401482641317531e+38	2.3234637873511213e+37	38.146587722983426	0.07195117898587795
58836.7029	19.424	0.11	g	SDSSg	gcn26500_tel4	-16.367812460476244	4671.78	641709279974656.4	3524722.9329787614	357102.87722609047	1.2798268969645883e-13	1.2966405472079345e-14	82.12767965433447	8.320662719347482	0.017579526359189534	0.0017810476348088912	2.1033818605792313e+38	2.1310149154992803e+37	38.32291812427344	0.04397016493581431
58836.7055	19.304	0.12	i	SDSSi	gcn26500_tel4	-16.487812460476242	7457.89	401980262513928.2	3936633.5024532764	435092.813727833	1.4293916247407848e-13	1.5798220066457617e-14	57.4587220548511	6.35057264956744	0.007704420694707364	0.0008515240436058242	9.218302247971271e+37	1.0188444162668232e+37	37.96465094358825	0.04796745265725196
58837.114	19.301	0.02	r	SDSSrp	gcn26517_tel3	-16.490812460476246	6202.58	483335092816215.1	3947525.8642203645	72716.113673298	1.4333466412984143e-13	2.6403220874774503e-15	69.27867319097793	1.2761603212156163	0.011169331663755716	0.0002057466927013624	1.336405153148855e+38	2.461749267072783e+36	38.125938141599285	0.007994575442875327
58837.12	19.524	0.01	i	SDSSip	gcn26517_tel3	-16.267812460476243	7673.03	390709352107316.1	3214585.5206029774	29607.42679957968	1.1672160025309412e-13	1.0750456670927381e-15	45.604220811815544	0.4200303960755812	0.005943443569465458	5.4741138256409945e-05	7.111301600486506e+37	6.549750822825971e+35	37.85194909808189	0.0039972877214376635
58837.126	19.509	0.03	z	SDSSzp	gcn26517_tel3	-16.282812460476244	8922.78	335985486586019.1	3259304.859763631	90057.92140337743	1.1834535945801744e-13	3.2700031261566347e-15	39.76232318269933	1.0986735914795407	0.0044562707118968896	0.00012313131013871694	5.331906440320357e+37	1.4732601944064726e+36	37.72688252018498	0.011991863164312994
58837.126	19.674	0.02	g	SDSSgp	gcn26517_tel3	-16.117812460476244	4724.6	634535109850569.4	2799786.945245214	51573.98146944773	1.0166026398185371e-13	1.872651267155647e-15	64.50700677316343	1.1882629775164164	0.013653432411878979	0.00025150551951835424	1.6336266110365665e+38	3.009251425672945e+36	38.21315279926059	0.007994575442875329
58838.0	19.734	0.06	i	SDSSip	gcn27057_tel2	-16.057812460476242	7673.03	390709352107316.1	2649262.4514978305	146403.65347794638	9.619471961388622e-14	5.315916657784233e-15	37.58417657648642	2.076978353219367	0.004898218380025417	0.00027068555097782326	5.860694696313899e+37	3.2387395781571964e+36	37.76794909808189	0.02398372632862598
58838.0	18.92	0.1	J	2MASSJ	gcn27057_tel2	-16.871812460476242	12350.0	242746929554655.88	5606928.063816072	516417.1590893143	2.0358755799716158e-13	1.8751107046533e-14	49.4202545993414	4.551773661296558	0.004001640048529668	0.00036856466893089537	4.787943041619436e+37	4.4098585094949937e+36	37.680148975306324	0.03997287721437664
58838.0	19.914	0.06	g	SDSSgp	gcn27057_tel2	-15.877812460476244	4724.6	634535109850569.4	2244527.7761622886	124037.18875685669	8.14988035524527e-14	4.503790323761467e-15	51.71385226484555	2.857813087831914	0.010945657254549707	0.0006048793734563589	1.3096426178343718e+38	7.237352565540294e+36	38.117152799260595	0.023983726328625977
58841.211239	20.251	0.07	g	PS1g	gcn26577_tel1	-15.540812460476246	4810.88	623155135858720.2	1645602.6732507467	106095.925163713	5.975183306573461e-14	3.852343042694419e-15	37.234661651885425	2.4006073521446365	0.007739677907552344	0.0004989954752861506	9.260487333301484e+37	5.970456824505651e+36	37.96663384203773	0.02798101405006365
58841.21285	20.032	0.05	r	PS1r	gcn26577_tel1	-15.759812460476244	6156.36	486963819529722.1	2013376.4487381657	92719.41194899582	7.31056988536828e-14	3.3666418478680386e-15	35.59983034317901	1.6394327732264218	0.005782610234485802	0.0002662990424904362	6.918865289939474e+37	3.1862552154097115e+36	37.84003487498773	0.019986438607188312
58841.21442999999	19.875	0.04	i	PS1i	gcn26577_tel1	-15.916812460476244	7503.68	399527242632948.06	2326617.4668405424	85715.75513994563	8.44794802209801e-14	3.1123390691314257e-15	33.75185379175285	1.2434642464288748	0.004498040133874692	0.00016571392255918094	5.381883352507791e+37	1.9827591007547617e+36	37.73093428058657	0.015989150885750654
58841.216012	19.745	0.05	z	PS1z	gcn26577_tel1	-16.046812460476243	8668.56	345838822134241.44	2622557.2901161667	120773.22643488694	9.522505520411801e-14	4.385275851850745e-15	32.93252092946029	1.516598635337794	0.003799076309036367	0.00017495392952667966	4.545576503092884e+37	2.0933153390171362e+36	37.65758897143793	0.019986438607188323
58841.217616	19.679	0.12	y	PS1y	gcn26577_tel1	-16.112812460476242	9613.45	311846899916263.1	2786923.0927271587	308022.1232944521	1.0119317749692313e-13	1.1184283296821556e-14	31.556778695091637	3.487784073899045	0.003282565436455345	0.0003628025395564594	3.927573732153064e+37	4.340914909099505e+36	37.594124346777996	0.047967452657251976
58846.0	20.824	0.06	i	SDSSip	gcn27057_tel2	-14.967812460476242	7673.03	390709352107316.1	970789.3073324382	53647.7997000405	3.524935974924083e-14	1.9479516071084707e-15	13.772254509823592	0.7610829103497558	0.0017948912632719527	9.918935679252601e-05	2.1475787502686854e+37	1.18679587593587e+36	37.33194909808189	0.023983726328625984
58846.0	19.71	0.11	J	2MASSJ	gcn27057_tel2	-16.081812460476243	12350.0	242746929554655.88	2708475.953630175	274405.8396447136	9.834476187631166e-14	9.963676037499551e-15	23.872888983258434	2.418651765180316	0.0019330274480371201	0.00019584224819273814	2.312858029919351e+37	2.3432430656377045e+36	37.36414897530632	0.043970164935814286
58846.0	22.584	0.05	g	SDSSgp	gcn27057_tel2	-13.207812460476244	4724.6	634535109850569.4	191922.0987541454	8838.339272148527	6.96869140576302e-15	3.2092009897171303e-16	4.421879366670557	0.20363507025427152	0.0009359267169010195	4.3101018129422916e-05	1.1198318082853266e+37	5.157016056836719e+35	37.04915279926059	0.01998643860718832
58854.0	23.494	0.08	g	SDSSgp	gcn27057_tel2	-12.297812460476244	4724.6	634535109850569.4	83008.96219243472	6116.326365734609	3.0140554172073045e-15	2.2208381033982363e-16	1.9125239852533407	0.140919974990013	0.000404801249894878	2.9826858356265712e-05	4.8434274551634805e+36	3.568769234322405e+35	36.68515279926059	0.0319783017715013
58854.0	20.65	0.12	J	2MASSJ	gcn27057_tel2	-15.141812460476244	12350.0	242746929554655.88	1139527.9560311667	125945.28406115227	4.1376260083491663e-14	4.573073264260439e-15	10.04396009172247	1.110099493527709	0.0008132761207872445	8.988659866621126e-05	9.730809608598573e+36	1.0754888230810707e+36	36.98814897530632	0.047967452657251976
58854.0	22.544	0.07	i	SDSSip	gcn27057_tel2	-13.247812460476244	7673.03	390709352107316.1	199124.63108085666	12838.039400892143	7.230215354545906e-15	4.661492106463937e-16	2.824912756771	0.18212885607698934	0.00036816130743278733	2.3736236672734153e-05	4.4050323086006055e+36	2.8400292838234517e+35	36.64394909808189	0.02798101405006364
